NR.,Vulnerable Smart Contracts,Vulnerability/Bug,Analyzed (Solidity only),Reentrancy,Timestamp Dependancy,Transaction ordering dependancy,Mishandled exceptions,Integer overflow/underflow,Gas overusage,Phishing with tx.origin,Signature replay
15,NanoPyramid,Contract that do not refund,Yes,X,X,X,1,1,1,1,1
16,Tomeka,Contract that do not refund,Yes,X,X,X,1,1,1,1,1
17,ProtectTheCastle,"Call-stack limit, Withdraw option",Yes,X,X,X,1,1,1,1,1
18,RockPaperScissors (RPS),Public moves,Yes,X,X,X,1,1,1,1,1
19,SmartBillions,Blockhash bug,Yes,X,X,X,1,X,1,1,1
20,EtherPot,Unchecked-send bug,Yes,X,X,X,1,X,1,1,1
21,TheRun,Timestamp dependence,Yes,X,X,X,1,1,1,1,1
22,OddsAndEvents Compiler 0.3.1 Sample,Keeping secrets,Yes,X,X,X,1,1,1,X,1
1,SimpleDao Sample compiler version 0.3.1,"Re-entrancy, call to the unkown",Yes,X,X,X,1,1,1,1,1
2,SimpleDao Sample compiler version 0.4.2,"Re-entrancy, call to the unkown",Yes,X,X,X,1,1,1,1,1
3,King of the Ether game (KoET),"Unchecked-send bug, Gasless send, Mishandled exception",Yes,X,X,X,1,1,1,1,1
4,KotET Sample compiler version 0.3.1,Gasless send,Yes,X,X,X,1,1,1,1,1
5,KotET Sample compiler version 0.4.2,Gasless send,Yes,X,X,X,1,1,1,1,1
6,GovernMental (PonziGovernmental),"Unchecked-send bug, Call-stack limit, uses too much gas",Yes,X,X,X,1,X,1,1,1
7,GovernMental simplified sample 0.3.1,"Immutable bugs, exception disorder, call-stack limit, unpredictable state ",Yes,X,X,X,1,1,1,X,1
8,Rubixi ,"Immutable bugs, wrong constructor name",Yes,X,X,X,1,1,1,1,1
9,FirePonzi,Type casts (intentional scam),Yes,X,X,X,X,1,1,1,X
10,Parity Multisig,Unintended function exposure,Yes,X,X,X,1,1,1,1,1
11,GoodFellas,Typo (wrong constructor name),Yes,X,X,X,1,X,1,1,1
12,StackyGame,Typo (wrong constructor name),Yes,X,X,X,1,1,1,1,1
13,DynamicPyramid,Contract that do not refund,Yes,X,X,X,1,1,1,1,1
14,GreedPit,Contract that do not refund,Yes,X,X,X,1,1,X,1,1
15,NanoPyramid,Contract that do not refund,Yes,X,X,X,1,1,1,1,1
16,Tomeka,Contract that do not refund,Yes,X,X,X,1,1,1,1,1
17,ProtectTheCastle,"Call-stack limit, Withdraw option",Yes,X,X,X,1,1,1,1,1
18,RockPaperScissors (RPS),Public moves,Yes,X,X,X,1,1,1,1,1
19,SmartBillions,Blockhash bug,Yes,X,X,X,1,X,1,1,1
20,EtherPot,Unchecked-send bug,Yes,X,X,X,1,X,1,1,1
21,TheRun,Timestamp dependence,Yes,X,X,X,1,1,1,1,1
22,OddsAndEvents Compiler 0.3.1 Sample,Keeping secrets,Yes,X,X,X,1,1,1,X,1
1,SimpleDao Sample compiler version 0.3.1,"Re-entrancy, call to the unkown",Yes,X,X,X,1,1,1,1,1
2,SimpleDao Sample compiler version 0.4.2,"Re-entrancy, call to the unkown",Yes,X,X,X,1,1,1,1,1
3,King of the Ether game (KoET),"Unchecked-send bug, Gasless send, Mishandled exception",Yes,X,X,X,1,1,1,1,1
4,KotET Sample compiler version 0.3.1,Gasless send,Yes,X,X,X,1,1,1,1,1
5,KotET Sample compiler version 0.4.2,Gasless send,Yes,X,X,X,1,1,1,1,1
6,GovernMental (PonziGovernmental),"Unchecked-send bug, Call-stack limit, uses too much gas",Yes,X,X,X,1,X,1,1,1
7,GovernMental simplified sample 0.3.1,"Immutable bugs, exception disorder, call-stack limit, unpredictable state ",Yes,X,X,X,1,1,1,X,1
8,Rubixi ,"Immutable bugs, wrong constructor name",Yes,X,X,X,1,1,1,1,1
9,FirePonzi,Type casts (intentional scam),Yes,X,X,X,X,1,1,1,X
10,Parity Multisig,Unintended function exposure,Yes,X,X,X,1,1,1,1,1
11,GoodFellas,Typo (wrong constructor name),Yes,X,X,X,1,X,1,1,1
12,StackyGame,Typo (wrong constructor name),Yes,X,X,X,1,1,1,1,1
13,DynamicPyramid,Contract that do not refund,Yes,X,X,X,1,1,1,1,1
14,GreedPit,Contract that do not refund,Yes,X,X,X,1,1,X,1,1
15,NanoPyramid,Contract that do not refund,Yes,X,X,X,1,1,1,1,1
16,Tomeka,Contract that do not refund,Yes,X,X,X,1,1,1,1,1
17,ProtectTheCastle,"Call-stack limit, Withdraw option",Yes,X,X,X,1,1,1,1,1
18,RockPaperScissors (RPS),Public moves,Yes,X,X,X,1,1,1,1,1
19,SmartBillions,Blockhash bug,Yes,X,X,X,1,X,1,1,1
20,EtherPot,Unchecked-send bug,Yes,X,X,X,1,X,1,1,1
21,TheRun,Timestamp dependence,Yes,X,X,X,1,1,1,1,1
22,OddsAndEvents Compiler 0.3.1 Sample,Keeping secrets,Yes,X,X,X,1,1,1,X,1
1,SimpleDao Sample compiler version 0.3.1,"Re-entrancy, call to the unkown",Yes,X,X,X,1,1,1,1,1
2,SimpleDao Sample compiler version 0.4.2,"Re-entrancy, call to the unkown",Yes,X,X,X,1,1,1,1,1
3,King of the Ether game (KoET),"Unchecked-send bug, Gasless send, Mishandled exception",Yes,X,X,X,1,1,1,1,1
4,KotET Sample compiler version 0.3.1,Gasless send,Yes,X,X,X,1,1,1,1,1
5,KotET Sample compiler version 0.4.2,Gasless send,Yes,X,X,X,1,1,1,1,1
6,GovernMental (PonziGovernmental),"Unchecked-send bug, Call-stack limit, uses too much gas",Yes,X,X,X,1,X,1,1,1
7,GovernMental simplified sample 0.3.1,"Immutable bugs, exception disorder, call-stack limit, unpredictable state ",Yes,X,X,X,1,1,1,X,1
8,Rubixi ,"Immutable bugs, wrong constructor name",Yes,X,X,X,1,1,1,1,1
9,FirePonzi,Type casts (intentional scam),Yes,X,X,X,X,1,1,1,X
10,Parity Multisig,Unintended function exposure,Yes,X,X,X,1,1,1,1,1
11,GoodFellas,Typo (wrong constructor name),Yes,X,X,X,1,X,1,1,1
12,StackyGame,Typo (wrong constructor name),Yes,X,X,X,1,1,1,1,1
13,DynamicPyramid,Contract that do not refund,Yes,X,X,X,1,1,1,1,1
14,GreedPit,Contract that do not refund,Yes,X,X,X,1,1,X,1,1
15,NanoPyramid,Contract that do not refund,Yes,X,X,X,1,1,1,1,1
16,Tomeka,Contract that do not refund,Yes,X,X,X,1,1,1,1,1
17,ProtectTheCastle,"Call-stack limit, Withdraw option",Yes,X,X,X,1,1,1,1,1
18,RockPaperScissors (RPS),Public moves,Yes,X,X,X,1,1,1,1,1
19,SmartBillions,Blockhash bug,Yes,X,X,X,1,X,1,1,1
20,EtherPot,Unchecked-send bug,Yes,X,X,X,1,X,1,1,1
21,TheRun,Timestamp dependence,Yes,X,X,X,1,1,1,1,1
22,OddsAndEvents Compiler 0.3.1 Sample,Keeping secrets,Yes,X,X,X,1,1,1,X,1
20,EtherPot,Unchecked-send bug,Yes,X,X,X,1,X,1,1,1
21,TheRun,Timestamp dependence,Yes,X,X,X,1,1,1,1,1
22,OddsAndEvents Compiler 0.3.1 Sample,Keeping secrets,Yes,X,X,X,1,1,1,X,1
